English language name                                      | ISO 639-3 code | ISO 639-2 code | ISO 639-1 code
Tsuvan                                                     | tsh            |                |               
Tswa                                                       | tsc            |                |               
Tswana                                                     | tsn            | tsn            | tn            
Tswapong                                                   | two            |                |               
Tu                                                         | mjg            |                |               
Tuamotuan                                                  | pmt            |                |               
Tubar                                                      | tbu            |                |               
Tucano                                                     | tuo            |                |               
Tugen                                                      | tuy            |                |               
Tugun                                                      | tzn            |                |               
Tugutil                                                    | tuj            |                |               
Tukang Besi North                                          | khc            |                |               
Tukang Besi South                                          | bhq            |                |               
Tuki                                                       | bag            |                |               
Tukpa                                                      | tpq            |                |               
Tukudede                                                   | tkd            |                |               
Tukumanféd                                                 | tkf            |                |               
Tula                                                       | tul            |                |               
Tulehu                                                     | tlu            |                |               
Tulishi                                                    | tey            |                |               
Tulu                                                       | tcy            |                |               
Tulu-Bohuai                                                | rak            |                |               
Tuma-Irumu                                                 | iou            |                |               
Tumak                                                      | tmc            |                |               
Tumari Kanuri                                              | krt            |                |               
Tumbuka                                                    | tum            | tum            |               
Tumi                                                       | kku            |                |               
Tumleo                                                     | tmq            |                |               
Tumshuqese                                                 | xtq            |                |               
Tumtum                                                     | tbr            |                |               
Tumulung Sisaala                                           | sil            |                |               
Tumzabt                                                    | mzb            |                |               
Tundra Enets                                               | enh            |                |               
Tunen                                                      | baz            |                |               
Tunen                                                      | tvu            |                |               
Tungag                                                     | lcm            |                |               
Tunggare                                                   | trt            |                |               
Tungus languages                                           | tuw            |                |               
Tunia                                                      | tug            |                |               
Tunica                                                     | tun            |                |               
Tunisian Arabic                                            | aeb            |                |               
Tunisian Sign Language                                     | tse            |                |               
Tunjung                                                    | tjg            |                |               
Tunni                                                      | tqq            |                |               
Tunzu                                                      | dza            |                |               
Tuotomb                                                    | ttf            |                |               
Tuparí                                                     | tpr            |                |               
Tupi languages                                             | tup            | tup            |               
Tupinambá                                                  | tpn            |                |               
Tupinikin                                                  | tpk            |                |               
Tupuri                                                     | tui            |                |               
Tupí                                                       | tpw            |                |               
Turaka                                                     | trh            |                |               
Turi                                                       | trd            |                |               
Turiwára                                                   | twt            |                |               
Turka                                                      | tuz            |                |               
Turkana                                                    | tuv            |                |               
Turkic languages                                           | trk            |                |               
Turkish Sign Language                                      | tsm            |                |               
Turkish                                                    | tur            | tur            | tr            
Turkmen                                                    | tuk            | tuk            | tk            
Turks And Caicos Creole English                            | tch            |                |               
Turoyo                                                     | tru            |                |               
Turumsa                                                    | tqm            |                |               
Turung                                                     | try            |                |               
Tuscarora                                                  | tus            |                |               
Tutelo                                                     | tta            |                |               
Tutong                                                     | ttg            |                |               
Tutsa Naga                                                 | tvt            |                |               
Tutuba                                                     | tmi            |                |               
Tututepec Mixtec                                           | mtu            |                |               
Tututni                                                    | tuu            |                |               
Tuvalu                                                     | tvl            | tvl            |               
Tuvinian                                                   | tyv            | tyv            |               
Tuwali Ifugao                                              | ifk            |                |               
Tuwari                                                     | tww            |                |               
Tuwuli                                                     | bov            |                |               
Tuxináwa                                                   | tux            |                |               
Tuxá                                                       | tud            |                |               
Tuyuca                                                     | tue            |                |               
Twana                                                      | twa            |                |               
Twendi                                                     | twn            |                |               
Twents                                                     | twd            |                |               
Twi                                                        | twi            | twi            | tw            
Tyap                                                       | kcg            |                |               
Tz'utujil                                                  | tzj            |                |               
Tzeltal                                                    | tzh            |                |               
Tzotzil                                                    | tzo            |                |               
Tày Sa Pa                                                  | tys            |                |               
Tày Tac                                                    | tyt            |                |               
Tày                                                        | tyz            |                |               
Téén                                                       | lor            |                |               
Tübatulabal                                                | tub            |                |               
U                                                          | uuu            |                |               
Uab Meto                                                   | aoz            |                |               
Uamué                                                      | uam            |                |               
Uare                                                       | ksj            |                |               
Ubaghara                                                   | byc            |                |               
Ubang                                                      | uba            |                |               
Ubi                                                        | ubi            |                |               
Ubir                                                       | ubr            |                |               
Ubykh                                                      | uby            |                |               
Ucayali-Yurúa Ashéninka                                    | cpb            |                |               
Uda                                                        | uda            |                |               
Udi                                                        | udi            |                |               
Udihe                                                      | ude            |                |               
Udmurt                                                     | udm            | udm            |               
Uduk                                                       | udu            |                |               
Ufim                                                       | ufi            |                |               
Ugandan Sign Language                                      | ugn            |                |               
Ugaritic                                                   | uga            | uga            |               
Ughele                                                     | uge            |                |               
Ugong                                                      | ugo            |                |               
Uhami                                                      | uha            |                |               
Uighur                                                     | uig            | uig            | ug            
Uisai                                                      | uis            |                |               
Ujir                                                       | udj            |                |               
Ukaan                                                      | kcf            |                |               
Ukhwejo                                                    | ukh            |                |               
Ukit                                                       | umi            |                |               
Ukpe-Bayobiri                                              | ukp            |                |               
Ukpet-Ehom                                                 | akd            |                |               
Ukrainian Sign Language                                    | ukl            |                |               
Ukrainian                                                  | ukr            | ukr            | uk            
Ukue                                                       | uku            |                |               
Ukuriguma                                                  | ukg            |                |               
Ukwa                                                       | ukq            |                |               
Ukwuani-Aboh-Ndoni                                         | ukw            |                |               
Ulau-Suain                                                 | svb            |                |               
Ulch                                                       | ulc            |                |               
Ulithian                                                   | uli            |                |               
Ullatan                                                    | ull            |                |               
Ulukwumi                                                   | ulb            |                |               
Ulumanda'                                                  | ulm            |                |               
Ulwa                                                       | ulw            |                |               
Uma                                                        | ppk            |                |               
Uma' Lasan                                                 | xky            |                |               
Uma' Lung                                                  | ulu            |                |               
Umanakaina                                                 | gdn            |                |               
Umatilla                                                   | uma            |                |               
Umbindhamu                                                 | umd            |                |               
Umbrian                                                    | xum            |                |               
Umbu-Ungu                                                  | ubu            |                |               
Umbugarla                                                  | umr            |                |               
Umbundu                                                    | umb            | umb            |               
Ume Sami                                                   | sju            |                |               
Umeda                                                      | upi            |                |               
Umiida                                                     | xud            |                |               
Umiray Dumaget Agta                                        | due            |                |               
Umon                                                       | umm            |                |               
Umotína                                                    | umo            |                |               
Umpila                                                     | ump            |                |               
Una                                                        | mtg            |                |               
Unami                                                      | unm            |                |               
Uncoded languages                                          | mis            | mis            |               
Unde Kaili                                                 | unz            |                |               
Undetermined                                               | und            | und            |               
Uneapa                                                     | bbn            |                |               
Uneme                                                      | une            |                |               
Unggaranggu                                                | xun            |                |               
Unggumi                                                    | xgu            |                |               
Uni                                                        | uni            |                |               
Unserdeutsch                                               | uln            |                |               
Unua                                                       | onu            |                |               
Unubahe                                                    | unu            |                |               
Uokha                                                      | uok            |                |               
Upper Chehalis                                             | cjh            |                |               
Upper Grand Valley Dani                                    | dna            |                |               
Upper Guinea Crioulo                                       | pov            |                |               
Upper Kinabatangan                                         | dmg            |                |               
Upper Kuskokwim                                            | kuu            |                |               
Upper Necaxa Totonac                                       | tku            |                |               
Upper Saxon                                                | sxu            |                |               
Upper Sorbian                                              | hsb            | hsb            |               
Upper Ta'oih                                               | tth            |                |               
Upper Tanana                                               | tau            |                |               
Upper Tanudan Kalinga                                      | kgh            |                |               
Upper Taromi                                               | tov            |                |               
Upper Umpqua                                               | xup            |                |               
Ura (Papua New Guinea)                                     | uro            |                |               
Ura (Vanuatu)                                              | uur            |                |               
Uradhi                                                     | urf            |                |               
Urak Lawoi'                                                | urk            |                |               
Urali                                                      | url            |                |               
Uralic languages                                           | urj            |                |               
Urapmin                                                    | urm            |                |               
Urarina                                                    | ura            |                |               
Urartian                                                   | xur            |                |               
Urat                                                       | urt            |                |               
Urdu                                                       | urd            | urd            | ur            
Urhobo                                                     | urh            |                |               
Uri                                                        | uvh            |                |               
Urigina                                                    | urg            |                |               
Urim                                                       | uri            |                |               
Urimo                                                      | urx            |                |               
Uripiv-Wala-Rano-Atchin                                    | upv            |                |               
Urningangg                                                 | urc            |                |               
Uru                                                        | ure            |                |               
Uru-Eu-Wau-Wau                                             | urz            |                |               
Uru-Pa-In                                                  | urp            |                |               
Uruangnirin                                                | urn            |                |               
Uruava                                                     | urv            |                |               
Urubú-Kaapor Sign Language                                 | uks            |                |               
Urubú-Kaapor                                               | urb            |                |               
Uruguayan Sign Language                                    | ugy            |                |               
Urum                                                       | uum            |                |               
Urumi                                                      | uru            |                |               
Usaghade                                                   | usk            |                |               
Usan                                                       | wnu            |                |               
Usarufa                                                    | usa            |                |               
Ushojo                                                     | ush            |                |               
Usila Chinantec                                            | cuc            |                |               
Usku                                                       | ulf            |                |               
Uspanteco                                                  | usp            |                |               
Usui                                                       | usi            |                |               
Utarmbung                                                  | omo            |                |               
Ute-Southern Paiute                                        | ute            |                |               
Uto-Aztecan languages                                      | azc            |                |               
Utu                                                        | utu            |                |               
Uvbie                                                      | evh            |                |               
Uya                                                        | usu            |                |               
Uyajitaya                                                  | duk            |                |               
Uzbek                                                      | uzb            | uzb            | uz            
Uzbeki Arabic                                              | auz            |                |               
Uzekwe                                                     | eze            |                |               
Vaagri Booli                                               | vaa            |                |               
Vafsi                                                      | vaf            |                |               
Vaghat-Ya-Bijim-Legeri                                     | bij            |                |               
Vaghri                                                     | vgr            |                |               
Vaghua                                                     | tva            |                |               
Vagla                                                      | vag            |                |               
Vai                                                        | vai            | vai            |               
Vaiphei                                                    | vap            |                |               
Vale                                                       | vae            |                |               
Valencian Sign Language                                    | vsv            |                |               
Valle Nacional Chinantec                                   | cvn            |                |               
Valley Maidu                                               | vmv            |                |               
Valman                                                     | van            |                |               
Valpei                                                     | vlp            |                |               
Vamale                                                     | mkt            |                |               
Vame                                                       | mlr            |                |               
Vandalic                                                   | xvn            |                |               
Vangunu                                                    | mpr            |                |               
Vanimo                                                     | vam            |                |               
Vano                                                       | vnk            |                |               
Vanuma                                                     | vau            |                |               
Vao                                                        | vao            |                |               
Varhadi-Nagpuri                                            | vah            |                |               
Varisi                                                     | vrs            |                |               
Varli                                                      | vav            |                |               
Vasavi                                                     | vas            |                |               
Veddah                                                     | ved            |                |               
Vehes                                                      | val            |                |               
Veluws                                                     | vel            |                |               
Vemgo-Mabas                                                | vem            |                |               
Venda                                                      | ven            | ven            | ve            
Venetian                                                   | vec            |                |               
Venetic                                                    | xve            |                |               
Venezuelan Sign Language                                   | vsl            |                |               
Vengo                                                      | bav            |                |               
Ventureño                                                  | veo            |                |               
Veps                                                       | vep            |                |               
Vera'a                                                     | vra            |                |               
Vestinian                                                  | xvs            |                |               
Vidunda                                                    | vid            |                |               
Viemo                                                      | vig            |                |               
Vietnamese                                                 | vie            | vie            | vi            
Vilela                                                     | vil            |                |               
Vili                                                       | vif            |                |               
Villa Viciosa Agta                                         | dyg            |                |               
Vincentian Creole English                                  | svc            |                |               
Vinmavis                                                   | vnm            |                |               
Vinza                                                      | vin            |                |               
Virgin Islands Creole English                              | vic            |                |               
Vishavan                                                   | vis            |                |               
Viti                                                       | vit            |                |               
Vitou                                                      | vto            |                |               
Vitu                                                       | wiv            |                |               
Vlaams                                                     | vls            |                |               
Vlaamse Gebarentaal                                        | vgt            |                |               
Vlax Romani                                                | rmy            |                |               
Volapük                                                    | vol            | vol            | vo            
Volscian                                                   | xvo            |                |               
Vono                                                       | kch            |                |               
Voro                                                       | vor            |                |               
Votic                                                      | vot            | vot            |               
Vumbu                                                      | vum            |                |               
Vunapu                                                     | vnp            |                |               
Vunjo                                                      | vun            |                |               
Vurës                                                      | msn            |                |               
Vute                                                       | vut            |                |               
Vwanji                                                     | wbi            |                |               
Võro                                                       | vro            |                |               
Wa                                                         | wbm            |                |               
Wa'ema                                                     | wag            |                |               
Waama                                                      | wwa            |                |               
Waamwang                                                   | wmn            |                |               
Waata                                                      | ssn            |                |               
Wab                                                        | wab            |                |               
Wabo                                                       | wbb            |                |               
Waboda                                                     | kmx            |                |               
Waci Gbe                                                   | wci            |                |               
Wadaginam                                                  | wdg            |                |               
Waddar                                                     | wbq            |                |               
Wadi Wadi                                                  | xwd            |                |               
Wadikali                                                   | wdk            |                |               
Wadiyara Koli                                              | kxp            |                |               
Wadjabangayi                                               | wdy            |                |               
Wadjiginy                                                  | wdj            |                |               
Wadjigu                                                    | wdu            |                |               
Wae Rana                                                   | wrx            |                |               
Waffa                                                      | waj            |                |               
Wagawaga                                                   | wgb            |                |               
Wagawaga                                                   | wgw            |                |               
Wagaya                                                     | wga            |                |               
Wagdi                                                      | wbr            |                |               
Wagi                                                       | fad            |                |               
Wagiman                                                    | waq            |                |               
Wahau Kayan                                                | whu            |                |               
Wahau Kenyah                                               | whk            |                |               
Wahgi                                                      | wgi            |                |               
Waigali                                                    | wbk            |                |               
Waigeo                                                     | wgo            |                |               
Wailaki                                                    | wlk            |                |               
Wailapa                                                    | wlr            |                |               
Waima                                                      | rro            |                |               
Waima'a                                                    | wmh            |                |               
Waimaha                                                    | bao            |                |               
Waimiri-Atroari                                            | atr            |                |               
Waioli                                                     | wli            |                |               
Waiwai                                                     | waw            |                |               
Waja                                                       | wja            |                |               
Wajarri                                                    | wbv            |                |               
Wajuk                                                      | xwj            |                |               
Waka                                                       | wav            |                |               
Wakabunga                                                  | wwb            |                |               
Wakashan languages                                         | wak            | wak            |               
Wakawaka                                                   | wkw            |                |               
Wakde                                                      | wkd            |                |               
Wakhi                                                      | wbl            |                |               
Wakoná                                                     | waf            |                |               
Wala                                                       | lgl            |                |               
Walak                                                      | wlw            |                |               
Walangama                                                  | nlw            |                |               
Wali (Ghana)                                               | wlx            |                |               
Wali (Sudan)                                               | wll            |                |               
Waling                                                     | wly            |                |               
Walio                                                      | wla            |                |               
Walla Walla                                                | waa            |                |               
Wallisian                                                  | wls            |                |               
Walloon                                                    | wln            | wln            | wa            
Walmajarri                                                 | wmt            |                |               
Walo Kumbe Dogon                                           | dwl            |                |               
Walser                                                     | wae            |                |               
Walungge                                                   | ola            |                |               
Waluwarra                                                  | wrb            |                |               
Wamas                                                      | wmc            |                |               
Wambaya                                                    | wmb            |                |               
Wambon                                                     | wms            |                |               
Wambule                                                    | wme            |                |               
Wamesa                                                     | wad            |                |               
Wamey                                                      | cou            |                |               
Wamin                                                      | wmi            |                |               
Wampanoag                                                  | wam            |                |               
Wampar                                                     | lbq            |                |               
Wampur                                                     | waz            |                |               
Wan                                                        | wan            |                |               
Wanambre                                                   | wnb            |                |               
Wanap                                                      | wnp            |                |               
Wancho Naga                                                | nnp            |                |               
Wanda                                                      | wbh            |                |               
Wandala                                                    | mfi            |                |               
Wandarang                                                  | wnd            |                |               
Wandji                                                     | wdd            |                |               
Waneci                                                     | wne            |                |               
Wanga                                                      | lwg            |                |               
Wangaaybuwan-Ngiyambaa                                     | wyb            |                |               
Wanggamala                                                 | wnm            |                |               
Wanggom                                                    | wng            |                |               
Wangkangurru                                               | wgg            |                |               
Wangkayutyuru                                              | wky            |                |               
Wangkumara                                                 | xwk            |                |               
Wannu                                                      | jub            |                |               
Wano                                                       | wno            |                |               
Wantoat                                                    | wnc            |                |               
Wanukaka                                                   | wnk            |                |               
Wanyi                                                      | wny            |                |               
Wané                                                       | hwa            |                |               
Waorani                                                    | auc            |                |               
Wapan                                                      | juk            |                |               
Wapishana                                                  | wap            |                |               
Wappo                                                      | wao            |                |               
War-Jaintia                                                | aml            |                |               
Wara                                                       | wbf            |                |               
Warao                                                      | wba            |                |               
Warapu                                                     | wra            |                |               
Waray (Australia)                                          | wrz            |                |               
Waray (Philippines)                                        | war            | war            |               
Wardaman                                                   | wrr            |                |               
Wardandi                                                   | wxw            |                |               
Warduji                                                    | wrd            |                |               
Warembori                                                  | wsa            |                |               
Wares                                                      | wai            |                |               
Waris                                                      | wrs            |                |               
Waritai                                                    | wbe            |                |               
Wariyangga                                                 | wri            |                |               
Warji                                                      | wji            |                |               
Warkay-Bipim                                               | bgv            |                |               
Warlmanpa                                                  | wrl            |                |               
